dataset_id,name,aliases,crops,task,attachment_claim,verified_extent,version_or_record,primary_url,secondary_primary_url,license_id,license_evidence_url,license_status,access_status,backlog_ids,malina_role,priority,open_questions,checked_at
strawdi,StrawDI,,strawberry,segmentation; detection,8000 images; 20 plantations; Db1 3100 segmented,8000 total; Db1 3100 segmented; Huelva Spain,Db1; exact release unpinned,https://strawdi.github.io/,,custom-noncommercial,https://strawdi.github.io/,verified_restricted,metadata_only; no archive downloaded,FARM-07;R-10,segmentation/counting candidate; no maturity or cultivar proof,defer_rights,Commercial use and commercial derivatives prohibited under published terms; separate permission needed; archive version/hash and capture groups not audited,2026-09-26
strawberry-maturity-unresolved,Strawberry Maturity Classification,,strawberry,maturity classification,Kaggle; linked in review to Swin Transformer v2 / RegNet Y research,,,,,,,unresolved_identifier,not_identified,R-01;FARM-07,candidate only,unresolved,"Need author namespace, exact dataset slug, paper DOI, release and license; generic title does not identify one dataset",2026-09-26
strawberry-disease-unresolved,Strawberry Disease Detection Dataset,,strawberry,leaf disease detection,Kaggle; YOLOv8 research mentioned,,,,,,,unresolved_identifier,not_identified,R-01,possible disease research only after label and source audit,unresolved,"Need owner/slug, version, disease classes, diagnostic ground truth and data license; do not substitute Fruits-360",2026-09-26
ripe-strawberries-hf-unresolved,Ripe Strawberries Detection,,strawberry,bounding-box detection,Hugging Face bounding-box dataset,,,,,,,unresolved_identifier,not_identified,R-10,candidate only,unresolved,"Need Hugging Face namespace/repository, commit, upstream provenance and license",2026-09-26
strawberry-ripeness-mahyeks,Multi-Class Strawberry Ripeness Detection Dataset,A Novel Public Dataset for Strawberry Ripeness Detection; 566/1201,strawberry,three-class ripeness detection,566 images; 1201 objects; 3 classes,566 images; preprint 1201 objects; final article 1169 annotations; count conflict preserved,Kaggle mahyeks v1; lastUpdated 2026-02-17; DOI 10.1002/fsn3.72112,https://www.kaggle.com/datasets/mahyeks/multi-class-strawberry-ripeness-detection-dataset,https://onlinelibrary.wiley.com/doi/full/10.1002/fsn3.72112,Apache-2.0,https://www.kaggle.com/api/v1/datasets/list?search=multi-class-strawberry-ripeness-detection-dataset,verified_metadata_scope_pending,metadata_only; no archive downloaded,R-01;FARM-07,alternative bounded ripeness pilot after version audit,candidate_after_audit,Reconcile preprint https://arxiv.org/abs/2602.15656 with final article and exact v1 archive; check file license scope; do not use other owners v2 mirror,2026-09-26
strawberry-ds-unresolved,Strawberry-DS,,strawberry,maturity classification,Green 455; White 257; Turning28-117; Red 233,,,,,,,unresolved_identifier,not_identified,FARM-07,candidate only,unresolved,Need exact repository/DOI and license; Turning28-117 is ambiguous and must not be guessed into a count,2026-09-26
strawberry-multispectral-unresolved,Strawberry Multispectral Dataset,,strawberry,multispectral sensing,Taiwan NCHC; calibration data mentioned,,,,,,,unresolved_identifier,not_identified,KNOW-04,special-sensor research candidate,unresolved,"Need NCHC record ID, sensors/bands, calibration protocol, release and license",2026-09-26
raspberryset,RaspberrySet,,raspberry,object detection; visible berry counting,2039 images; 46659 labels; 5 classes; CC BY 4.0,2039 RGB images; 46659 labels; Bud/Flower/UnripeBerry/RipeBerry/DamagedBud; Dobele Latvia,Zenodo 7014728; DOI 10.5281/zenodo.7014728,https://zenodo.org/records/7014728,https://dspace.rsu.lv/items/0ddbab53-3c13-453f-9d14-b91cbaa642bc,CC-BY-4.0,https://zenodo.org/api/records/7014728,verified_attribution,metadata_only; no archive downloaded,R-01;R-10,first offline candidate for visible berry count,first_candidate,Audit archive/group IDs and class imbalance; published 463 ripe versus 29156 unripe; need independent local holdout; image count is not independent plant count,2026-09-26
raspberry-phenoset,Raspberry PhenoSet,Phenology-based dataset for raspberry fruit; duplicate mention merged,raspberry,phenological stage annotation,1853 images; 6907 annotations; 7 BBCH stages; listed twice,1853 images; 6907 annotations; 7 phenological stages; controlled vertical farm,arXiv 2411.00967; data release unpinned,https://arxiv.org/abs/2411.00967,https://github.com/pjafary/RaspberryPhenoSet,unknown-data; GPL-3.0-repository,https://github.com/pjafary/RaspberryPhenoSet,data_scope_unresolved,metadata_only; linked Google Drive data not downloaded,FARM-08,stage research; forecasting requires separate longitudinal truth,defer_rights,Repository GPL does not establish separately hosted images/annotations license; need stable data release and longitudinal plant/outcome metadata; stages are not seven ripeness levels,2026-09-26
raspgrade,RaspGrade,,raspberry,instance segmentation; expert quality grading,Hugging Face raspberry ripeness dataset,RGB punnets with expert quality labels; 5 classes; total archive count not verified,FBK-TeV/RaspGrade; commit unpinned,https://tev.fbk.eu/resources/raspgrade,https://huggingface.co/datasets/FBK-TeV/RaspGrade,CC-BY-NC-4.0,https://tev.fbk.eu/resources/raspgrade,verified_restricted,metadata_only; no archive downloaded,FARM-07,quality-label design; commercial pilot only with separate permission,defer_rights,Noncommercial restriction; exact release and total extent required; validate local punnets and acquisition conditions separately,2026-09-26
